Timestamp,RPM,Speed,Throttle,BrakePressure,Gear,OilPressure,EngineTemp,BatteryVoltage,EngineOn
10020,800,20,0,70,2,28,111,140,1
10030,800,20,0,60,2,28,111,140,1
10040,800,20,0,50,2,28,111,140,1
10050,800,20,0,40,2,28,111,140,1
10060,800,20,0,30,2,28,111,140,1
10070,800,20,0,20,2,28,111,140,1
10080,800,20,0,10,2,28,111,140,1
10090,800,20,0,0,2,28,111,140,1
10100,800,20,0,0,2,28,111,140,1
10110,806,19,3,0,2,28,111,140,1
10120,818,18,6,0,2,28,111,140,1
10130,836,17,9,0,2,28,111,140,1
10140,860,16,12,0,2,28,111,140,1
10150,890,15,15,0,2,28,111,140,1
10160,926,14,18,0,2,29,111,140,1
10170,968,13,21,0,2,29,111,140,1
10180,1016,12,24,0,2,30,111,140,1
10190,1070,11,27,0,2,30,111,140,1
10200,1130,11,30,0,2,31,111,140,1
10210,1196,11,33,0,2,31,111,140,1
10220,1268,12,36,0,2,32,111,140,1
10230,1346,13,39,0,2,33,111,140,1
10240,1430,14,42,0,2,34,111,140,1
10250,1520,15,45,0,2,35,111,140,1
10260,1616,16,48,0,2,36,111,140,1
10270,1718,17,51,0,2,37,111,140,1
10280,1826,18,54,0,2,38,111,140,1
10290,1940,19,57,0,2,39,111,140,1
10300,2060,20,60,0,2,40,111,140,1
10310,2186,21,63,0,2,41,111,140,1
10320,2318,22,66,0,2,43,111,140,1
10330,2456,23,69,0,2,44,111,140,1
10340,2600,24,72,0,3,46,111,140,1
10350,2750,25,75,0,3,47,111,140,1
10360,2906,26,78,0,3,49,111,140,1
10370,3068,27,81,0,3,50,111,140,1
10380,3236,28,84,0,3,52,111,140,1
10390,3410,29,87,0,3,54,111,140,1
10400,3590,30,90,0,3,55,111,140,1
10410,3776,31,93,0,3,57,111,140,1
10420,3968,32,96,0,3,59,111,140,1
10430,4166,33,99,0,4,61,111,140,1
10440,4370,34,102,0,4,63,111,140,1
10450,4574,35,102,0,4,65,111,140,1
10460,4778,36,102,0,4,67,111,140,1
10470,4982,37,102,0,4,69,111,140,1
10480,5186,38,102,0,4,71,111,140,1
10490,5390,39,102,0,4,73,111,140,1
10500,5594,40,102,0,5,75,111,140,1
10510,5798,41,102,0,5,77,111,140,1
10520,6002,42,102,0,5,80,111,140,1
10530,6206,43,102,0,5,82,111,140,1
10540,6410,44,102,0,5,84,111,140,1
10550,6614,45,102,0,5,86,111,140,1
10560,6818,46,102,0,5,88,111,140,1
10570,7000,47,102,0,5,90,111,140,1
10580,7000,48,102,0,5,90,111,140,1
10590,7000,49,102,0,5,90,111,140,1
10600,7000,50,102,0,5,90,111,140,1
10610,7000,51,102,0,5,90,111,140,1
10620,7000,52,102,0,5,90,111,140,1
10630,7000,53,102,0,5,90,111,140,1
